,Social Negative Count,WN-SNS,Municipality,County,MRI Score,Latitude,Longitude,Crime_Index
239,72,6.063348416,palmyra borough,Burlington,-0.47,40.0032402,-75.02211078,455.6821339
240,65,-12.82758621,paramus borough,Bergen,2.5,40.92616975,-74.0699502,815.8839366
241,12,-12.0661157,parsippany-troy hills township,Morris,2.09,40.8617005,-74.36537154,149.1029039
242,23,-12.13675214,passaic city,Passaic,-15.1,40.861021,-74.12329062,484.5602328
243,15,-13.84615385,paterson city,Passaic,-16.65,40.9170394,-74.17197468,632.2969781
244,0,-20,paulsboro borough,Gloucester,-9.59,39.8302,-75.2394,729.5251204
245,6,-8,pemberton borough,Burlington,-5.56,39.97349055,-74.67961629,450.7888805
246,9,-7.142857143,pemberton township,Burlington,-4.17,39.9548195,-74.59322386,468.9107747
248,0,-20,pennsauken township,Camden,-6.55,39.9562238,-75.0579502,570.8639187
249,13,-10.28037383,pennsville township,Salem,-4.01,39.6534464,-75.5165881,391.8242042
250,27,-9.66507177,pequannock township,Morris,2.45,40.9600102,-74.2974765,126.5072149
251,28,-6.74556213,perth amboy city,Middlesex,-11.55,40.50638185,-74.2653264,338.7013582
252,30,-7.878787879,phillipsburg town,Warren,-8.27,40.6915956,-75.19536771,473.0809309
254,14,-0.689655172,piscataway township,Middlesex,0.86,40.5462553,-74.4660408,167.2421611
255,16,-11.52317881,pittsgrove township,Salem,-1.84,39.528263,-75.13114603,119.5952162
256,14,-9.230769231,plainfield city,Union,-8.65,40.6178735,-74.41661407,401.2199921
257,28,-6.900584795,plainsboro township,Middlesex,4.01,40.3334409,-74.6004341,110.1406875
258,11,-11.9266055,pleasantville city,Atlantic,-15.54,39.38238465,-74.50227167,384.1530843
259,12,-3.448275862,plumsted township,Ocean,-0.01,40.0500971,-74.4894892,127.6595745
260,14,-13.67231638,pohatcong township,Warren,1.14,40.6391205,-75.15066271,913.8949332
261,15,-15.75971731,point pleasant borough,Ocean,2.72,40.0779441,-74.0684129,139.6557324
262,118,-11.44927536,princeton,Mercer,4.53,40.3496953,-74.6597376,148.1667504
264,16,-8.363636364,rahway city,Union,-2.36,40.60470935,-74.27428652,185.6341115
265,16,-9.152542373,randolph township,Morris,4.13,40.844265,-74.58572175,101.7532874
266,36,-11.19266055,raritan township,Hunterdon,4.29,40.5042326,-74.8948569,148.184737
267,24,-2.545454545,readington township,Hunterdon,3.59,40.5687141,-74.7376619,105.3886205
268,22,-15.78947368,ridgefield borough,Bergen,1.41,40.836141,-73.99897119,125.3420425
269,10,-6.666666667,ridgewood village,Bergen,6.07,40.9795336,-74.1188684,125.8405757
270,33,4.905660377,riverside township,Burlington,-6.34,40.0323338,-74.9573908,55.87301587
271,4,-14.57627119,robbinsville township,Mercer,5.24,40.2162828,-74.619833,82.9367777
272,16,-7.572815534,rockaway borough,Morris,-0.24,40.89808355,-74.5178823,169.0670006
273,11,-13.88888889,rockaway township,Morris,3.69,40.9302182,-74.4871818,236.8919773
275,21,-6,roselle borough,Union,-3.96,40.6583306,-74.2637077,299.7200165
276,30,-12.72727273,roxbury township,Morris,1.8,40.874768,-74.6564721,111.2559757
277,19,-8.985507246,rutherford borough,Bergen,2.53,40.8260991,-74.1083482,196.5945104
278,62,-5.787965616,saddle brook township,Bergen,1.51,39.8192263,-74.7870092,274.9875329
280,17,-2.105263158,sayreville borough,Middlesex,0.55,40.4637333,-74.36199275,153.7881142
281,4,-18.35897436,sea bright borough,Monmouth,2.47,40.3619362,-73.9735419,101.5228426
282,38,-15.11254019,sea isle city,Cape May,2.51,39.1548404,-74.6897791,1028.62688
283,53,-7.565982405,seaside park borough,Ocean,-0.25,39.93512135,-74.07296645,340.7601573
284,43,-11.26903553,secaucus town,Hudson,2.23,40.78785745,-74.05507769,542.9157309
286,15,-13.5828877,shrewsbury township,Monmouth,-1.29,40.3120839,-74.0732274,412.470024
287,50,-6.754966887,somers point city,Atlantic,-5.4,39.3915262,-74.5621143,498.2752012
288,48,-13.42465753,somerville borough,Somerset,-1,40.57050295,-74.61962194,238.5202012
289,24,-2.857142857,south bound brook borough,Somerset,-2.14,40.5575489,-74.5277602,138.4981606
290,0,-20,south brunswick township,Middlesex,3.45,40.40412305,-74.56297793,129.2619767
291,41,-16.04819277,south harrison township,Gloucester,2.35,39.700469,-75.26023441,83.3867864
292,70,-10.8045977,south river borough,Middlesex,-4.18,40.44939105,-74.38121324,175.7534501
294,89,-10.81290323,sparta township,Sussex,4.3,41.0401567,-74.6310081,63.12185728
295,24,-5.671641791,springfield township,Burlington,2.82,40.0431682,-74.6454353,167.6829268
296,24,-5.671641791,springfield township,Union,2.92,40.0431682,-74.6454353,166.6479
297,62,-2.837370242,stafford township,Ocean,1.73,39.7114651,-74.2779616,146.2731661
300,25,-12.83154122,surf city borough,Ocean,3.94,39.6604369,-74.16746816,204.4293015
303,9,-5,teaneck township,Bergen,1.78,40.8860164,-74.0072568,227.1672488
304,12,-5,tewksbury township,Hunterdon,5.48,40.68446,-74.77872997,41.20171674
305,11,-2.4,tinton falls borough,Monmouth,1.23,40.2982823,-74.0908161,210.6567534
306,13,-10.87719298,toms river township,Ocean,0.13,39.9526791,-74.1968257,297.7514074
307,16,-6.804123711,totowa borough,Passaic,-0.38,40.9070432,-74.2029231,433.152072
308,21,-9.693251534,trenton city,Mercer,-16.82,40.2307232,-74.7556166,823.1346937
309,8,-12.55813953,union beach borough,Monmouth,0.84,40.4393213,-74.17915758,113.3662461
310,18,-11.86440678,union township,Union,0.03,40.6695453,-74.9240573,374.8391708
311,18,-11.86440678,union township,Hunterdon,1.81,40.6695453,-74.9240573,339.6136661
316,11,-9.268292683,ventnor city,Atlantic,-2.6,39.3405045,-74.4773916,543.1153015
317,22,-7.517730496,vernon township,Sussex,1.67,41.1984287,-74.4832132,91.58090402
318,20,-7.878787879,verona township,Essex,4.25,40.6424457,-74.4856528,132.4700454
319,0,0,voorhees township,Camden,1.42,39.8512162,-74.9619779,287.2278215
320,5,-16.63865546,wall township,Monmouth,3.85,40.1743052,-74.0902219,206.5112695
323,5,-10,wantage township,Sussex,0.35,41.2442617,-74.5507156,137.1237458
324,13,-8.181818182,warren township,Somerset,4.99,40.63065715,-74.52266308,68.96119366
325,43,-1.604278075,washington borough,Warren,-3.81,40.7631045,-74.98513756,156.082632
326,27,-12,washington township,Burlington,-1.11,40.9884843,-74.0652437,62.3722981
331,7,-7.555555556,waterford township,Camden,-2.33,39.7321715,-74.80109551,133.4461047
332,0,0,wayne township,Passaic,3.05,40.9018775,-74.26336333,387.3757821
333,2,-6.666666667,weehawken township,Hudson,0.92,39.8590453,-74.2062003,316.0531894
